Word,Author,how[crq],good[j],never[avx],one[pi],may[vmb],time[n1],make[vvi],being[vvg],shall[vmb],every[d],like[acp],after[acp],before[acp],well[av],men[n2],now[av],can[vmb],her[po],many[d],great[j],thus[av],let[vvb],did[vvd],own[d],might[vmd],your[po],ever[av],himself[pr],though[cs],down[acp],been[vvn],against[acp],our[po],could[vmd],first[ord],only[av-j],we[pns],thou[pns],nor[ccx],unto[acp],she[pns],must[vmb],little[j],without[acp],those[d],two[crd],most[avs-d],much[av-d],therefore[av],life[n1],over[acp],day[n1],having[vvg],whom[crq],thy[po],nothing[pix],more[dc],old[j],her[pno],do[vvb],too[av],about[acp],made[vvd],am[vvm],poor[j],thee[pno],us[pno],because[acp],made[vvn],god[nn1],under[acp],amongst[acp],eyes[n2],hand[n1],house[n1],see[vvi],till[acp],came[vvd],whose[crq],love[n1],way[n1],forth[av],far[av-j],long[av-j],world[n1],heart[n1],none[pix],here[av],away[av],seeing[vvg],themselves[pr],thought[vvd],cannot[vmbx],take[vvi],quoth[vvd],thing[n1],death[n1],three[crd],place[n1],face[n1],young[j],country[n1],last[ord],whole[j],no[avx-d],like[j],began[vvd],head[n1],why[crq],both[d],know[vvb],mind[n1],full[j],do[vvi],master[n1],say[vvi],end[n1],off[acp],took[vvd],doth[vvz],father[n1],since[acp],fair[j],name[n1],again[av],give[vvi],went[vvd],very[av],new[j],words[n2],go[vvi],nature[n1],sweet[j],together[av],night[n1],once[acp],said[vvd],beauty[n1],high[j],much[d],myself[pr],called[vvn],done[vvn],fortune[n1],true[j],part[n1],through[acp],else[av],gentleman[n1],fire[n1],wherein[crq],hast[vv2],eye[n1],rather[avc],say[vvb],still[av],wit[n1],heaven[n1],rest[n1],years[n2],sight[n1],think[vvb],very[j],fell[vvd],friend[n1],come[vvi],company[n1],word[n1],better[jc],saw[vvd],art[vv2],either[d],set[vvn],sir[n1],thoughts[n2],best[js],earth[n1],gave[vvd],o[uh],reason[n1],even[av],long[j],able[j],body[n1],days[n2],see[vvb],come[vvb],matter[n1],take[vvb],money[n1],either[av-d],live[vvi],cause[n1],gentlemen[n2],hands[n2],sun[n1],king[n1],man's[ng1],times[n2],dead[j],lord[n1],water[n1],ears[n2],favour[n1],hear[vvi],whether[cs]
Christ's Tears (40),Nashe,3,0,1,0,1,1,2,3,18,2,1,1,0,0,3,1,3,2,2,0,0,2,0,1,1,24,2,0,0,2,0,0,1,0,1,1,0,20,0,1,2,0,0,1,0,0,1,0,0,1,3,2,1,1,17,2,1,1,3,0,4,1,1,0,1,6,0,0,0,4,0,4,2,0,2,2,0,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,2,5,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Christ's Tears (41),Nashe,2,2,2,1,0,1,1,2,3,1,0,3,2,0,1,0,1,0,2,1,0,1,1,4,0,1,1,2,3,2,0,6,18,1,0,1,11,11,0,0,0,2,2,0,2,0,2,1,0,0,0,0,0,0,6,1,0,4,0,2,1,2,0,0,0,6,4,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,4,0,1,0,0,7,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Christ's Tears (42),Nashe,1,0,1,0,2,0,1,0,1,0,2,1,3,1,1,1,1,0,1,1,1,0,0,4,5,0,0,1,1,1,0,1,15,0,1,2,8,11,2,2,0,5,0,1,1,0,1,2,1,1,0,1,0,0,4,4,0,1,0,2,2,2,0,0,1,7,4,0,1,0,5,0,1,0,3,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0
Christ's Tears (43),Nashe,1,3,3,4,1,1,0,1,8,5,2,0,1,0,1,1,2,0,3,1,0,0,2,0,0,7,1,0,0,1,1,4,4,3,1,1,5,0,0,4,2,0,1,0,3,1,0,3,0,3,1,3,1,3,1,1,3,1,2,4,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0
Christ's Tears (44),Nashe,2,2,2,0,3,0,3,2,1,0,1,1,0,1,1,1,2,3,1,2,1,2,0,1,0,5,0,0,1,0,2,0,0,1,0,1,1,2,0,2,10,0,1,0,3,0,1,1,0,0,0,3,0,3,0,0,1,1,3,3,1,1,0,1,0,0,0,0,1,1,5,1,1,0,1,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Christ's Tears (45),Nashe,1,4,3,1,1,3,1,1,2,0,0,4,1,0,3,0,4,2,0,2,0,3,0,2,0,3,0,0,2,0,0,3,6,0,0,2,3,0,1,3,4,2,0,0,3,1,0,0,1,0,0,0,0,3,0,4,0,1,0,0,2,0,1,0,1,1,6,1,2,4,1,0,1,0,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,1,0,0,2,0,3,0,4,0
Christ's Tears (46),Nashe,4,3,1,2,0,5,0,2,8,2,1,2,0,0,2,1,0,6,0,1,0,2,0,1,0,3,1,0,1,0,1,1,12,0,0,0,11,3,1,2,0,1,0,1,1,1,1,0,0,1,1,0,0,0,3,2,0,0,0,2,0,0,0,0,1,2,16,1,0,6,0,2,3,3,0,0,2,1,0,0,1,3,0,2,2,1,1,0,2,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,0,1,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,2,2,1,0,4,0,0,0,0,0,0,0,7,0,1,0,2,0
Christ's Tears (47),Nashe,1,3,3,0,2,0,0,0,3,0,0,3,0,0,3,3,0,0,1,1,0,1,0,2,0,15,2,0,1,1,3,1,11,0,1,1,8,0,1,0,0,2,2,1,8,0,0,0,0,0,3,2,1,0,0,1,2,1,0,2,0,1,0,0,9,0,5,3,0,8,0,2,0,1,2,0,0,0,1,1,0,0,0,0,2,0,5,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,1,1
Christ's Tears (48),Nashe,0,1,1,1,3,3,2,0,4,2,0,1,0,1,1,2,1,0,0,0,2,4,2,0,0,0,1,0,1,1,1,3,14,1,0,0,21,0,0,3,0,1,1,1,2,0,1,3,1,2,1,2,0,2,0,1,0,1,0,1,2,0,0,0,0,0,17,1,0,9,2,2,0,1,0,1,1,0,1,0,0,1,0,0,3,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,2,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,1,0,0,0
Christ's Tears (49),Nashe,1,0,6,0,4,0,0,1,2,1,2,1,1,0,2,0,3,0,2,0,0,0,1,1,0,0,2,1,7,3,0,0,13,2,0,2,22,3,0,1,0,2,1,2,0,0,0,2,1,4,3,0,1,3,0,3,2,1,0,2,2,1,1,0,0,11,20,1,0,10,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,3,1,0,3,2,1,3,0,0,0,0,1,2,0,0,0,0,1,0,2,1,2,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,2,0,3,0,1,1,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,3,0,2,0,1,0,1,0
Christ's Tears (50),Nashe,4,1,3,0,4,2,1,0,2,1,1,1,1,1,1,0,0,1,1,0,0,2,1,1,1,0,1,2,2,0,4,2,14,2,2,1,13,4,1,0,0,0,1,0,1,0,1,2,2,1,0,2,0,0,4,3,1,3,0,0,0,1,0,0,0,8,8,2,0,5,1,1,3,9,0,3,0,0,0,0,0,1,4,1,2,1,3,1,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Ciceronis Amor (1),Greene,1,0,0,2,3,3,2,2,3,3,5,1,0,1,3,0,0,29,3,1,5,0,2,2,1,1,0,0,0,1,1,2,1,0,0,1,1,2,1,0,8,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,3,0,1,1,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1,1,1,0,2,3,0,1,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,2,0,3,0,0,0,0,0,2,0,2,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ciceronis Amor (2),Greene,3,0,0,1,1,1,3,3,2,0,2,4,1,1,1,1,0,4,3,6,6,0,0,2,3,0,0,3,0,0,0,4,0,2,0,0,0,5,0,1,1,0,1,2,4,0,1,0,2,0,1,2,2,0,10,0,0,0,2,0,1,0,4,0,0,0,0,0,1,0,1,2,0,2,1,0,0,0,5,7,0,1,0,0,1,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,1,2,1,0,0,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,2,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ciceronis Amor (3),Greene,2,1,0,1,0,1,1,3,2,0,1,0,0,2,2,0,1,16,1,0,5,0,2,0,1,1,1,3,0,1,1,1,3,3,0,0,2,3,1,0,9,0,0,1,1,0,0,0,1,3,1,0,2,0,6,0,0,0,2,0,0,0,3,0,0,2,1,0,3,0,0,0,1,0,2,1,0,1,0,5,0,0,0,0,0,3,0,1,0,3,0,0,0,0,1,0,2,0,1,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Ciceronis Amor (4),Greene,2,1,2,2,0,1,2,5,2,0,1,1,0,1,1,1,1,6,0,2,4,0,0,1,2,1,2,1,0,1,3,3,0,1,0,2,1,0,1,0,7,0,1,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,1,11,0,0,1,0,0,2,3,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,4,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0
Ciceronis Amor (5),Greene,2,0,3,1,2,5,2,2,0,0,0,2,0,0,2,0,3,1,1,0,5,0,3,0,2,5,0,1,0,0,3,1,4,2,1,2,4,0,3,0,4,0,0,0,0,0,1,0,2,1,3,0,3,1,0,0,1,3,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,1,0,2,2,0,3,8,0,1,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,3,1,3,0,1,2,1,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,1,0,2,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,2,0,0,0
Ciceronis Amor (6),Greene,4,1,0,2,2,0,4,3,1,2,3,0,1,4,1,0,6,8,1,1,4,0,0,1,1,9,0,0,3,0,0,0,4,1,3,0,10,0,3,0,3,1,1,1,1,0,2,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,3,2,0,0,1,0,0,1,12,0,0,0,0,1,0,1,0,0,2,1,3,0,1,4,0,1,0,0,1,2,0,0,0,0,0,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,2,7,0,0
Ciceronis Amor (7),Greene,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,11,0,2,2,0,4,1,2,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,8,2,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,2,1,0,1,5,0,0,0,0,0,1,3,0,1,1,3,0,0,0,1,2,5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,1,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2,1,2,1,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Ciceronis Amor (8),Greene,3,0,3,0,4,1,0,2,2,0,0,2,0,0,0,0,1,11,1,1,2,3,1,1,0,0,1,0,2,1,0,0,1,1,2,3,5,3,1,0,14,1,1,2,1,0,1,1,1,2,0,1,2,0,3,0,0,0,3,0,0,0,1,0,1,1,2,0,1,0,0,1,0,0,3,2,0,1,0,13,0,1,1,1,1,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,2,0,1,0,1,0,1,0,1,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
Ciceronis Amor (9),Greene,2,1,0,1,1,0,0,0,0,1,3,1,1,2,0,0,3,9,1,1,3,1,3,2,2,4,1,1,1,1,0,0,1,1,0,0,0,1,5,0,1,1,0,0,1,0,1,0,2,0,0,0,1,0,3,1,1,0,1,0,1,0,1,0,0,2,0,0,3,0,0,1,2,1,0,0,0,0,2,8,1,0,1,3,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,1,0,0,2,1,3,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2,0,2,0,0,0,0,2,0,0,2,1,0,0,0,1,2,0,0,1,0,1,1,0,0,2,1,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
Ciceronis Amor (10),Greene,4,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,2,2,0,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,0,2,0,3,2,2,0,0,0,2,1,0,0,1,0,0,1,0,1,0,11,1,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,3,1,0,1,1,0,1,1,7,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
Ciceronis Amor (11),Greene,2,0,0,2,0,1,2,3,3,0,0,1,0,0,0,1,1,12,0,0,2,1,1,2,1,1,2,2,0,2,1,0,3,0,1,2,0,12,2,1,9,0,2,0,1,1,0,1,1,1,0,1,0,1,8,1,0,0,4,1,1,2,3,0,2,4,0,0,0,0,0,3,1,0,2,0,0,1,1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,4,0,2,0,1,0,4,1,0,2,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,2,0,0,0,1,1,1,1,2,1,0,2,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Ciceronis Amor (12),Greene,0,0,2,2,1,3,1,2,1,1,2,0,2,1,0,0,0,11,0,1,3,0,0,4,0,0,3,0,0,0,0,3,1,1,3,1,1,9,0,0,4,1,0,1,0,1,2,0,2,0,2,0,2,1,21,1,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,15,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,1,2,0,0
Ciceronis Amor (13),Greene,0,0,0,2,1,0,0,3,1,0,0,1,0,0,0,0,2,17,3,0,1,3,0,2,6,3,0,1,0,0,0,1,0,4,0,2,2,6,1,0,18,0,0,2,0,0,1,0,0,0,0,1,2,0,7,0,1,0,3,1,2,0,2,0,0,4,0,0,0,1,0,0,1,1,0,0,0,4,1,7,0,0,0,0,1,3,1,0,2,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,3,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0
Ciceronis Amor (14),Greene,1,0,2,1,2,0,1,3,3,1,3,0,2,0,0,2,3,23,0,2,5,2,2,0,1,7,0,0,3,3,0,0,1,0,0,1,4,0,0,1,11,0,2,1,2,1,2,0,2,0,2,1,4,0,1,1,0,1,4,0,0,0,2,0,0,4,1,1,1,0,0,0,1,0,1,0,0,0,2,3,1,0,4,0,0,1,0,0,0,3,0,1,1,1,6,0,0,2,1,3,0,0,0,0,1,1,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,2,3,0,0,0,0,3,0,1,0,1,0,1,0,0,1,0,0,1,1,0,4,0,0,0,1,0,1,0,4,0,0,1,1,1,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Ciceronis Amor (15),Greene,8,0,1,2,0,1,5,1,4,1,0,1,2,2,1,0,1,4,0,2,6,2,1,0,2,14,1,1,0,0,0,3,0,3,0,0,2,0,1,0,6,0,2,2,0,2,0,0,3,0,2,1,0,2,0,1,0,0,1,1,1,0,2,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,11,1,0,1,0,0,2,0,0,0,1,0,0,3,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,1,0,0,0,3,1,0,3,0,0,1,0,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0
Ciceronis Amor (16),Greene,1,0,1,3,0,2,1,1,2,0,1,5,0,2,0,3,2,18,2,0,3,0,2,1,1,1,0,1,0,1,1,0,0,3,1,1,3,0,0,0,15,0,0,3,1,1,1,1,1,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,3,0,1,1,3,0,0,2,2,0,0,1,1,1,1,9,1,3,0,1,0,0,2,4,0,0,1,1,0,0,5,0,0,0,3,1,0,2,2,0,1,0,3,0,1,0,0,0,0,1,1,1,1,0,2,0,0,1,0,1,0,0,0,2,0,2,0,2,2,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,3,0,1,2,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Ciceronis Amor (17),Greene,0,0,2,2,1,0,0,2,0,2,4,1,2,0,1,1,0,25,1,3,4,0,9,0,0,0,2,2,1,2,3,0,0,3,1,1,0,0,3,0,8,0,1,1,0,2,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,1,4,4,1,0,1,0,0,1,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,5,4,0,1,2,0,1,2,4,2,0,3,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,2,0,0,1,1,3,0,0,0,0,0,2,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Ciceronis Amor (18),Greene,2,0,1,1,0,3,1,3,2,1,1,2,8,1,2,1,0,10,0,2,2,2,0,1,1,0,0,3,0,1,2,0,1,1,0,3,0,9,1,0,9,0,0,1,2,0,4,0,2,0,0,0,1,1,16,0,0,0,9,0,0,0,3,0,3,1,1,0,0,0,0,1,3,0,3,0,1,0,1,7,1,0,2,2,1,4,0,2,1,4,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,0,0,2,1,0,0,1,0,0,2,0,4,0,1,0,1,0,2,1,0,1,1,1,0,0,0,0,0,3,1,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,1,1,2,1,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0
Ciceronis Amor (19),Greene,2,0,1,0,3,1,1,3,0,2,1,1,0,2,0,0,2,9,0,1,2,1,3,3,0,8,1,0,0,1,0,1,0,0,1,1,0,2,3,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,8,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,8,1,0,0,4,0,2,0,0,0,1,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,3,0,1,0,1,0,4,1,2,0,0,0,1,0,0,1,2,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,0,0,2,1,2,2,1,0,0,0,0,2,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
